Time,User,Chat
11:03:30,Pyh0134,형님 오늘은 뭐하시나요
11:03:30,리니사,노래 맘대로 들을 수 있는 플랫폼으로 이적하는건 많이 무리겠지...
11:03:32,Xormralgh,나작석 ㅋㅋㅋㅋㅋ
11:03:32,우락끼,ㅋㅋㅋㅋㅋㅋㅋㅋ
11:03:32,lol_fan,자 드가자~
11:03:32,저는살아있읍니다,자 드가자~
11:03:33,너만보고있어,ㅋㅋㅋㅋㅋㅋㅋ
11:03:33,devkwa,ㄴㄴㄱ
11:03:34,kdw5882213,ㅋㅋㅋㅋ
11:03:34,iThatGuy,나작석
11:03:34,dlwjdruf12,ㄸ ㄱㄹㅇ...
11:03:34,gomisaen9,꼬추 달린 새 끼들은 오빠소리 쳐 하지마라
11:03:34,uhdoh93,ㅋㅋㅋㅋㅋㅋ
11:03:34,너구리개다람쥐오징어새,덜렁덜렁
11:03:34,토고농민,ㅋㅋㅋㅋㅋ 가보자
11:03:35,qwzxt15,나가
11:03:35,최강무적어썸동현,파카오빠 사랑해 어서와
